id,name,state,lon,lat,all_ela1922,all_ela1922_e,all_ela2019,all_ela2019_e,all_ela2022,all_ela2022_e,all_mth1922,all_mth1922_e,all_mth2019,all_mth2019_e,all_mth2022,all_mth2022_e,state_x,b_ela1922,b_ela1922_e,b_ela2019,b_ela2019_e,b_ela2022,b_ela2022_e,b_mth1922,b_mth1922_e,b_mth2019,b_mth2019_e,b_mth2022,b_mth2022_e,h_ela1922,h_ela1922_e,h_ela2019,h_ela2019_e,h_ela2022,h_ela2022_e,h_mth1922,h_mth1922_e,h_mth2019,h_mth2019_e,h_mth2022,h_mth2022_e,w_ela1922,w_ela1922_e,w_ela2019,w_ela2019_e,w_ela2022,w_ela2022_e,w_mth1922,w_mth1922_e,w_mth2019,w_mth2019_e,w_mth2022,w_mth2022_e
30,Montana,MT,-112.089,46.866,-0.304,0.102,0.333,0.117,0.029,0.167,-0.407,0.091,0.281,0.11,-0.126,0.144,MT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.072,0.384,-0.427,0.496,-0.499,0.587,-0.695,0.33,-0.156,0.388,-0.85,0.534,-0.306,0.105,0.735,0.118,0.428,0.174,-0.337,0.092,0.673,0.115,0.336,0.143
31,Nebraska,NE,-100.117,41.5,-0.387,0.096,0.339,0.121,-0.048,0.15,-0.349,0.092,0.478,0.11,0.129,0.147,NE,-0.462,0.35,-1.907,0.449,-2.369,0.539,-0.061,0.339,-2.227,0.338,-2.288,0.588,-0.634,0.206,-0.869,0.265,-1.503,0.314,-0.655,0.185,-0.93,0.223,-1.585,0.294,-0.33,0.111,1.017,0.14,0.687,0.172,-0.294,0.097,1.227,0.124,0.933,0.15
32,Nevada,NV,-116.506,39.539,-0.313,0.11,-0.15,0.134,-0.463,0.174,-0.546,0.094,-0.437,0.111,-0.983,0.153,NV,-0.446,0.252,-1.744,0.359,-2.191,0.354,-0.742,0.222,-2.204,0.284,-2.945,0.342,-0.39,0.138,-0.738,0.164,-1.128,0.222,-0.668,0.123,-1.112,0.15,-1.78,0.195,-0.309,0.18,0.901,0.207,0.592,0.294,-0.368,0.153,0.677,0.183,0.309,0.246
33,New Hampshire,NH,-71.66,43.378,-0.276,0.116,0.595,0.14,0.319,0.186,-0.639,0.093,0.61,0.115,-0.029,0.146,NH,NA,NA,NA,NA,NA,NA,NA,NA,-1.126,0.747,NA,NA,-0.86,0.396,-0.943,0.493,-1.804,0.62,-1.046,0.371,-1.209,0.487,-2.255,0.559,-0.268,0.118,0.711,0.147,0.444,0.185,-0.627,0.097,0.716,0.122,0.089,0.151
34,New Jersey,NJ,-74.607,40.823,-0.273,0.137,0.851,0.161,0.578,0.221,-0.819,0.136,0.87,0.179,0.051,0.204,NJ,-0.439,0.365,-0.835,0.358,-1.274,0.635,-1.344,0.31,-1.1,0.375,-2.444,0.495,-0.082,0.232,-0.685,0.331,-0.767,0.325,-0.676,0.2,-0.792,0.314,-1.468,0.247,-0.422,0.154,1.856,0.174,1.434,0.254,-0.688,0.141,1.812,0.18,1.124,0.217
35,New Mexico,NM,-105.574,34.498,-0.456,0.111,-0.957,0.141,-1.413,0.171,-0.959,0.089,-0.897,0.118,-1.856,0.134,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.564,0.119,-1.352,0.147,-1.916,0.187,-0.938,0.097,-1.305,0.133,-2.244,0.14,-0.212,0.215,0.527,0.29,0.316,0.318,-0.916,0.178,0.46,0.246,-0.456,0.258
36,New York,NY,-74.816,43.305,-0.343,0.135,0.1,0.159,-0.244,0.219,-0.804,0.132,-0.114,0.161,-0.918,0.209,NY,-0.53,0.32,-1.369,0.283,-1.9,0.573,-0.651,0.268,-2.053,0.33,-2.705,0.424,-0.219,0.182,-0.991,0.244,-1.211,0.271,-0.754,0.166,-1.468,0.207,-2.222,0.261,-0.267,0.18,0.984,0.208,0.717,0.294,-0.731,0.183,0.834,0.242,0.103,0.274
37,North Carolina,NC,-78.39,35.322,-0.53,0.123,0.224,0.135,-0.306,0.206,-0.708,0.111,0.287,0.144,-0.421,0.17,NC,-0.625,0.173,-1.243,0.216,-1.868,0.27,-0.858,0.177,-1.329,0.23,-2.186,0.269,-0.424,0.189,-0.618,0.256,-1.042,0.278,-0.889,0.168,-0.506,0.258,-1.394,0.216,-0.469,0.174,1.211,0.203,0.742,0.282,-0.661,0.139,1.328,0.199,0.667,0.193
38,North Dakota,ND,-98.522,47.469,-0.399,0.09,0.244,0.115,-0.155,0.137,-0.446,0.079,0.45,0.104,0.004,0.119,ND,-1.487,0.404,-1.059,0.515,-2.546,0.623,-0.899,0.336,-1.567,0.451,-2.465,0.5,-0.419,0.41,-0.947,0.523,-1.366,0.631,-0.814,0.364,-0.834,0.521,-1.648,0.51,-0.352,0.1,0.638,0.13,0.286,0.153,-0.388,0.088,0.915,0.114,0.527,0.134
39,Ohio,OH,-83.413,40.094,-0.382,0.117,0.433,0.152,0.05,0.177,-0.575,0.114,0.351,0.145,-0.224,0.175,OH,-0.558,0.289,-1.78,0.32,-2.337,0.483,-1.202,0.264,-1.867,0.362,-3.07,0.383,-1.368,0.409,-0.484,0.531,-1.852,0.623,-1.509,0.4,-0.758,0.552,-2.267,0.579,-0.427,0.13,1.051,0.154,0.624,0.209,-0.523,0.12,0.942,0.151,0.419,0.187
40,Oklahoma,OK,-96.229,35.428,-0.724,0.113,-0.217,0.131,-0.941,0.183,-0.942,0.1,-0.24,0.125,-1.182,0.155,OK,-0.398,0.318,-1.739,0.383,-2.137,0.507,-1.654,0.265,-2.009,0.362,-3.663,0.388,-0.727,0.233,-1.257,0.302,-1.984,0.354,-1.112,0.186,-0.95,0.244,-2.062,0.282,-0.765,0.147,0.4,0.165,-0.365,0.243,-0.801,0.128,0.334,0.168,-0.467,0.192
41,Oregon,OR,-119.161,43.958,-0.668,0.119,0.068,0.142,-0.601,0.191,-0.837,0.111,-0.172,0.149,-1.009,0.164,OR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.663,0.222,-1.531,0.262,-2.194,0.357,-0.444,0.189,-2.005,0.25,-2.449,0.283,-0.581,0.146,0.611,0.17,0.03,0.237,-1.034,0.137,0.517,0.172,-0.517,0.213
42,Pennsylvania,PA,-76.892,40.861,-0.434,0.127,0.395,0.152,-0.04,0.203,-0.794,0.128,0.488,0.158,-0.306,0.2,PA,-0.395,0.261,-1.805,0.375,-2.199,0.362,-1.12,0.235,-2.011,0.335,-3.131,0.329,-0.024,0.3,-1.643,0.398,-1.667,0.449,-0.347,0.282,-1.777,0.398,-2.123,0.401,-0.627,0.135,1.191,0.158,0.564,0.22,-0.861,0.128,1.36,0.171,0.499,0.191
